2500,0.000000,0.000000,0.000000
5000,0.000000,0.000000,0.000000
7500,0.000000,0.000000,0.000000
10000,0.000200,0.000000,0.001000
12500,0.000000,0.000000,0.000000
15000,0.000000,0.000000,0.000000
17500,0.000000,0.000000,0.000000
20000,0.000000,0.000000,0.000000
22500,0.000000,0.000000,0.000000
25000,0.000000,0.000000,0.000000
27500,0.000000,0.000000,0.000000
30000,0.000000,0.000000,0.000000
32500,0.000600,0.000000,0.001000
35000,0.000000,0.000000,0.000000
37500,0.000000,0.000000,0.000000
40000,0.000000,0.000000,0.000000
42500,0.000000,0.000000,0.000000
45000,0.000000,0.000000,0.000000
47500,0.000400,0.000000,0.001000
50000,0.000000,0.000000,0.000000
52500,0.000600,0.000000,0.001000
55000,0.000200,0.000000,0.001000
57500,0.000200,0.000000,0.001000
60000,0.000000,0.000000,0.000000
62500,0.000000,0.000000,0.000000
65000,0.000200,0.000000,0.001000
67500,0.000200,0.000000,0.001000
70000,0.000400,0.000000,0.001000
72500,0.000400,0.000000,0.001000
75000,0.000000,0.000000,0.000000
77500,0.000200,0.000000,0.001000
80000,0.000000,0.000000,0.000000
82500,0.000400,0.000000,0.001000
85000,0.000600,0.000000,0.001000
87500,0.000800,0.000000,0.001000
90000,0.000400,0.000000,0.001000
92500,0.000200,0.000000,0.001000
95000,0.000800,0.000000,0.001000
97500,0.000000,0.000000,0.000000
100000,0.001000,0.001000,0.001000
